Date,Department,Admissions,Emergency_Cases,ICU_Beds_Total,ICU_Beds_Occupied,General_Beds_Total,General_Beds_Occupied,Doctors_On_Duty,Nurses_On_Duty,Ambulances_Available,Staff_Required,Bed_Occupancy_Percentage
2022-01-01,Emergency,94,94,50,29,250,195,15,47,6,62,74.67
2022-01-01,Cardiology,50,12,50,17,250,96,8,25,4,33,37.67
2022-01-01,Neurology,51,13,50,20,250,109,8,25,4,33,43.0
2022-01-01,Orthopedics,59,18,50,18,250,121,9,29,5,38,46.33
2022-01-01,Pediatrics,59,19,50,20,250,116,9,29,4,38,45.33
2022-01-01,Oncology,50,14,50,16,250,96,8,25,5,33,37.33
2022-01-02,Emergency,95,95,50,34,250,194,15,47,4,62,76.0
2022-01-02,Cardiology,66,18,50,21,250,123,11,33,4,44,48.0
2022-01-02,Neurology,53,18,50,18,250,97,8,26,6,34,38.33
2022-01-02,Orthopedics,57,18,50,21,250,107,9,28,6,37,42.67
2022-01-02,Pediatrics,64,19,50,23,250,136,10,32,5,42,53.0
2022-01-02,Oncology,48,14,50,17,250,102,8,24,6,32,39.67
2022-01-03,Emergency,79,79,50,26,250,153,13,39,5,52,59.67
2022-01-03,Cardiology,49,17,50,14,250,107,8,24,5,32,40.33
2022-01-03,Neurology,36,10,50,13,250,80,6,18,6,24,31.0
2022-01-03,Orthopedics,50,14,50,16,250,108,8,25,5,33,41.33
2022-01-03,Pediatrics,54,13,50,15,250,98,9,27,4,36,37.67
2022-01-03,Oncology,38,12,50,12,250,80,6,19,6,25,30.67
2022-01-04,Emergency,88,88,50,29,250,180,14,44,6,58,69.67
2022-01-04,Cardiology,49,13,50,13,250,102,8,24,6,32,38.33
2022-01-04,Neurology,41,12,50,15,250,86,6,20,5,26,33.67
2022-01-04,Orthopedics,47,13,50,16,250,80,7,23,5,30,32.0
2022-01-04,Pediatrics,49,12,50,14,250,101,8,24,5,32,38.33
2022-01-04,Oncology,36,13,50,11,250,80,6,18,4,24,30.33
2022-01-05,Emergency,82,82,50,28,250,154,13,41,5,54,60.67
2022-01-05,Cardiology,54,12,50,20,250,110,9,27,4,36,43.33
2022-01-05,Neurology,41,9,50,14,250,80,6,20,5,26,31.33
2022-01-05,Orthopedics,47,17,50,15,250,83,7,23,5,30,32.67
2022-01-05,Pediatrics,56,17,50,23,250,120,9,28,5,37,47.67
2022-01-05,Oncology,43,10,50,13,250,80,7,21,6,28,31.0
2022-01-06,Emergency,84,84,50,25,250,174,14,42,6,56,66.33
2022-01-06,Cardiology,45,11,50,16,250,98,7,22,6,29,38.0
2022-01-06,Neurology,52,21,50,19,250,94,8,26,5,34,37.67
2022-01-06,Orthopedics,49,13,50,15,250,91,8,24,5,32,35.33
2022-01-06,Pediatrics,55,18,50,19,250,108,9,27,6,36,42.33
2022-01-06,Oncology,31,8,50,10,250,80,5,15,5,20,30.0
2022-01-07,Emergency,86,86,50,33,250,167,14,43,4,57,66.67
2022-01-07,Cardiology,47,12,50,22,250,85,7,23,6,30,35.67
2022-01-07,Neurology,47,12,50,19,250,97,7,23,5,30,38.67
2022-01-07,Orthopedics,48,13,50,18,250,91,8,24,5,32,36.33
2022-01-07,Pediatrics,51,12,50,18,250,117,8,25,4,33,45.0
2022-01-07,Oncology,37,11,50,16,250,80,6,18,4,24,32.0
2022-01-08,Emergency,92,92,50,35,250,188,15,46,4,61,74.33
2022-01-08,Cardiology,60,15,50,16,250,136,10,30,4,40,50.67
2022-01-08,Neurology,59,17,50,19,250,132,9,29,4,38,50.33
2022-01-08,Orthopedics,61,16,50,23,250,118,10,30,4,40,47.0
2022-01-08,Pediatrics,64,18,50,23,250,142,10,32,6,42,55.0
2022-01-08,Oncology,48,10,50,16,250,87,8,24,6,32,34.33
2022-01-09,Emergency,89,89,50,28,250,174,14,44,6,58,67.33
2022-01-09,Cardiology,54,16,50,17,250,104,9,27,4,36,40.33
2022-01-09,Neurology,56,17,50,23,250,110,9,28,4,37,44.33
2022-01-09,Orthopedics,55,16,50,19,250,99,9,27,4,36,39.33
2022-01-09,Pediatrics,64,19,50,29,250,146,10,32,6,42,58.33
2022-01-09,Oncology,45,10,50,13,250,93,7,22,4,29,35.33
2022-01-10,Emergency,91,91,50,29,250,175,15,45,5,60,68.0
2022-01-10,Cardiology,51,13,50,16,250,93,8,25,6,33,36.33
2022-01-10,Neurology,44,9,50,10,250,109,7,22,6,29,39.67
2022-01-10,Orthopedics,44,16,50,24,250,80,7,22,6,29,34.67
2022-01-10,Pediatrics,55,17,50,24,250,100,9,27,4,36,41.33
2022-01-10,Oncology,41,13,50,13,250,80,6,20,6,26,31.0
2022-01-11,Emergency,81,81,50,27,250,159,13,40,6,53,62.0
2022-01-11,Cardiology,49,15,50,20,250,99,8,24,6,32,39.67
2022-01-11,Neurology,46,13,50,16,250,84,7,23,5,30,33.33
2022-01-11,Orthopedics,48,18,50,21,250,99,8,24,6,32,40.0
2022-01-11,Pediatrics,53,13,50,22,250,108,8,26,5,34,43.33
2022-01-11,Oncology,31,11,50,12,250,80,5,15,4,20,30.67
2022-01-12,Emergency,85,85,50,30,250,170,14,42,5,56,66.67
2022-01-12,Cardiology,51,14,50,18,250,116,8,25,4,33,44.67
2022-01-12,Neurology,34,9,50,12,250,80,5,17,6,22,30.67
2022-01-12,Orthopedics,42,13,50,19,250,80,7,21,6,28,33.0
2022-01-12,Pediatrics,60,17,50,20,250,109,10,30,6,40,43.0
2022-01-12,Oncology,44,14,50,20,250,99,7,22,6,29,39.67
2022-01-13,Emergency,88,88,50,36,250,180,14,44,6,58,72.0
2022-01-13,Cardiology,51,15,50,15,250,111,8,25,4,33,42.0
2022-01-13,Neurology,40,13,50,13,250,91,6,20,5,26,34.67
2022-01-13,Orthopedics,56,18,50,14,250,111,9,28,6,37,41.67
2022-01-13,Pediatrics,52,14,50,22,250,110,8,26,4,34,44.0
2022-01-13,Oncology,35,10,50,8,250,80,5,17,4,22,29.33
2022-01-14,Emergency,88,88,50,34,250,182,14,44,5,58,72.0
2022-01-14,Cardiology,53,16,50,19,250,122,8,26,5,34,47.0
2022-01-14,Neurology,37,9,50,14,250,80,6,18,4,24,31.33
2022-01-14,Orthopedics,50,16,50,15,250,108,8,25,6,33,41.0
2022-01-14,Pediatrics,61,18,50,22,250,124,10,30,4,40,48.67
2022-01-14,Oncology,38,11,50,14,250,85,6,19,5,25,33.0
2022-01-15,Emergency,91,91,50,31,250,196,15,45,6,60,75.67
2022-01-15,Cardiology,57,17,50,22,250,114,9,28,5,37,45.33
